parameters set ID	projectile	target	product	fit function template	E lower boundary (eV)	E upper boundary (eV)	coefficients	relative RMS	author	title	year
1	H+	H2	H	CHEB	2.6	4000000	-82.5164, -6.70755, -6.10977, -2.6281, 0.709759, 0.639033, 0.10298, 0.26124, -0.263817	0.155	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
2	H+	H2	H	TAB2_1_8	3.16	100000	2.5, 212, 1.721, 0.00067, 0.3239, 0.00434, 1.296, 0.142, 9.34, 2.997	0.013	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
3	H+	H2	H-	CHEB	200	1000000	-95.8165, -7.17049, -7.48288, -1.93034, 0.761153, 0.556689, -0.0542859, -0.270184, -0.0147551	0.094	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
4	H	H2	H+	CHEB	61	20000000	-79.0892, 0.346403, -3.04496, 0.50849, -0.0758661, 0.108006, 0.0059345	0.107	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
5	H	H2	H+	TAB2_1_2	56.2	112000	20, 0.000253, 1.728, 2.164, 0.774, 1.639, 14.3	0.047	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
6	H	H2	H-	CHEB	40	460000	-82.8333, -1.65457, -2.60408, -1.5387, -0.368649, 0.41362, -0.165702, -0.127116, 0.256041	0.095	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
7	H	H2	H-	TAB2_1_13	23.7	91100	21, 0.00973, 2.38, 0.0139, -0.551, 0.077, 2.12, 0.00000197, 2.051, 5.5, 0.662, 20.2, 3.62	0.036	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
8	H-	H2	H+	CHEB	1000	10000000	-79.0159, -2.10252, -1.24073, 0.174799, 0.106249, -0.000434273, -0.0465674	0.02	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
9	H-	H2	H+	TAB2_1_6	1000	300000	0, 0.0000000175, 3.88, 0.906, -0.274, 3.19, 1.19	0.09	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
10	H-	H2	H	CHEB	2.3	17000000	-73.1506, -1.75695, -2.00168, -0.19028, 0.0171353, 0.127083, -0.152313	0.072	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
11	H-	H2	H	TAB2_1_11	2.37	50000	2.25, 0.0419, 1.89, 0.178, -0.23, 1.04, 0.87, 16.5, 1.088, 0.00533, 0.166	0.064	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
12	H2+	H2	H+	CHEB	3.2	10	-74.4493, 0.351878, -0.249279, 0.0781924, -0.0295527, 0.00853617, -0.0049033	0.002	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
13	H2+	H2	H+	CHEB	3000	20000000	-74.9261, -2.19443, -0.855834, 0.0421307, 0.216227, 0.0921147, -0.0893079	0.063	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
14	H2+	H2	H+	TAB2_1_4	5.62	99000	5, 63.4, 1.78, 0.00138, 0.406, 0.163, 0.327, 15.54, 3.903, 1.735, 10.2	0.022	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
15	H2+	H2	H	CHEB	4000	200000	-70.6702, -0.632612, -0.606521, -0.0915143, -0.012171, 0.0168179, 0.0104797	0.003	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
16	H2+	H2	H2+	CHEB	2600	100000	-69.7995, -0.288081, -0.216489, -0.102343, -0.0344599, 0.015529, 0.0223268	0.009	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
17	H2+	H2	H2	CHEB	4	200000	-71.4572, -1.88878, -0.90695, -0.676593, -0.388666, -0.0528444, 0.0283239, -0.0386419, 0.00767518	0.038	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
18	H2+	H2	H2	TAB2_1_12	0.1	120000	0, 229, 2.78, 0.00475, 0.1248, 0.214, 2.33, 7.96, 0.682, 0.00659, 4.51, 0.167, 11640	0.021	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
19	H2	H2	H+	CHEB	5100	100000	-75.7161, 0.371301, -0.373363, -0.209805, -0.0677263, -0.00389719, 0.0259767	0.007	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
20	H2	H2	H+	CHEB	300000	1200000	-75.8616, -0.542987, 0.0642733, 0.0118753, -0.00148111, 0.000221649, 0.00636358	0	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
21	H2	H2	H+	TAB2_1_2	178	99500	20, 0.00001307, 1.586, 10.66, 2.03, 2.73, 4.71	0.048	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
22	H2	H2	H	CHEB	5100	100000	-71.7329, -0.200109, -0.223241, -0.0773361, -0.0140887, 0.0563185, -0.00955263	0.025	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
23	H2	H2	H2+	TAB2_1_10	42.1	99000	32, 0.001879, 2.497, 0.0662, -0.467, 0.358, 0.5, 7.67, 201	0.034	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
24	H2	H2	H2	CHEB	2600	100000	-71.8671, 0.3807, -0.13763, -0.0886297, -0.00459765, 0.0134628, 0.00197498	0.006	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
25	H2	H2	H2	TAB2_1_10	17.8	100000	11, 0.00469, 2.946, 0.0436, -0.901, 0.152, 0.501, 2.6, 32.29	0.028	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
26	H3+	H2	H+	CHEB	120	1800000	-75.3369, 1.74367, -0.759749, -0.559135, 0.0918355, 0.0438106, -0.0940811	0.034	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
27	H3+	H2	H+	TAB2_1_3	14.8	115000	11, 0.667, 1.35, 0.0442, 0.71, 0.000067, 1.54, 11, -0.1	0.18	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
28	H3+	H2	H	CHEB	4500	1800000	-71.5391, -1.05347, -0.826342, 0.203507, 0.053614, -0.0425785, -0.0185315	0.018	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
29	H3+	H2	H	TAB2_1_3	54	119000	15.5, 0.589, 1, 0.025, 1.5, 0.0405, 0.759, 46.4, 1.1	0.059	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
30	H3+	H2	H2+	CHEB	330	1800000	-75.4231, 0.295854, -0.985779, -0.076236, 0.0980699, -0.0248092, -0.0512818	0.024	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
31	H3+	H2	H2+	TAB2_1_3	54	117000	15.5, 0.503, 1, 0.025, 2, 0.117, 0.318, 94, 1.35	0.1	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
32	H3+	H2	H2	CHEB	91	1800000	-74.8168, -0.899995, -1.57067, -0.379862, 0.384429, 0.264557, 0.0263143	0.041	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
33	H3+	H2	H2	TAB2_1_3	54	118000	0, 37.8, 1, 0.002, 0.25, 0.0414, 0.625, 48.9, 1.69	0.039	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
34	H3+	H2	H3+	CHEB	4800	110000	-70.3701, 0.284601, -0.184305, -0.042567, -0.00921848, 0.00698594, 0.00725332	0.003	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
35	H3+	H2	H3+	TAB2_1_3	54	100000	15.5, 320, 1, 0.00037, 0.25, 0.117, 0.537, 76.8, 1.59	0.041	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
